line_no	entry_id	original_heading	proposed_status	proposed_target	basis
2259	191	2026-07-28: An honest QA failure passes the Rule 20 self-check — the block reads evidence and hedging, never verdicts, and its failure output poisons the report it is pasted into [tag: bellows-integration]	learned	RULE_20_SELF_CHECK_BLOCK.md	detector-PASS(ratio=0.73,phrases=0)
2271	192	2026-07-28: I recorded four lens passes as DRY without running them — an unrun verification asserted as complete is the same failure the whole cycle exists to prevent [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=2)
2283	193	2026-07-29: An artifact a step COPIES at run time has an authoring-vs-runtime drift window — pin its content hash, because a version number is inert [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=5)
2299	194	2026-07-30: When one region keeps getting re-folded, the answer is usually DELETION, not another patch — and every patch feeling correct is exactly why it hides [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.78,phrases=0)
2313	195	2026-07-30: Verify a guard's NECESSITY against the runtime, not only its correctness — I built a correct ladder for a state that cannot occur [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
2327	196	2026-07-30: Check what a command PRINTS on success versus failure, not just what it does — three plan checks were unreadable in one cycle [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.71,phrases=2)
2341	197	2026-07-30: A fix applied at the site where it was found will be re-created elsewhere — state it as a RULE, not as an edit [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=3)
2355	198	2026-07-30: The final step's gate span absorbs the Drafting Cycle block, so a gate-matching string QUOTED in the log is evaluated as if the step had said it [tag: bellows-integration]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=16)
2369	199	2026-08-01: A COUNT is not a VALUE guard — trading one for the other passes every check and loses the capability [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.67,phrases=6)
2383	200	2026-08-01: Marking a claim as INHERITED makes it honest, not true — the reason for not re-running it is itself an unverified claim [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=7)
2397	201	2026-08-01: When something does not arrive, read the DELIVERY code before theorising about who dropped it [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=6)
2411	202	2026-08-01: Falling severity across walks is not convergence — ROTATION is [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=1)
2425	203	2026-08-01: An annotated status cell passes BOTH gates while asserting nothing — a third verdict value is an invisible one [tag: bellows-integration]	learned	RULE_20_SELF_CHECK_BLOCK.md	detector-PASS(ratio=0.86,phrases=0)
2439	204	2026-08-01: A guard's exit-code semantics must be EXECUTED against the failure it names, not the failure that inspired it [tag: bellows-integration]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.80,phrases=1)
2453	205	2026-08-01: The edit phase manufactures defects even when the edit is a REPAIR — and a ledger records that rather than preventing it [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=3)
2467	206	2026-08-01: Aim the cold panel at the premises that LICENSE a deletion — that is where the author has already convinced themselves [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=13)
2481	207	2026-08-01: A true warning silenced by wording is not a cleared warning — re-run the check after every edit to the block it reads [tag: bellows-integration]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=2)
2496	208	2026-08-03: The cold panel's yield does not decay, and a third of it is the previous round's folds [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.00,phrases=8)
2510	209	2026-08-03: Seven folds on one region is not a patching problem, it is evidence for deletion [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=3)
2524	210	2026-08-03: A verification that tests something adjacent to the change can certify a fold that never landed [tag: verification]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=2)
2541	211	2026-08-03: A note-shaped verification row cannot live in a glyph-required table [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
2553	212	2026-08-03: A command containing a pipe cannot be quoted verbatim inside a markdown table cell [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=3)
2567	213	2026-08-03: Daemon liveness is `ps -p` against a recorded PID, not a pgrep pattern [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=2)
2579	214	2026-08-03: A post-activation live canary can be paid for by the backlog it records [tag: process-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
2593	215	2026-08-03: The register append succeeded, recorded a pointer, and lost every item — a channel can fail a third distinct way [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=2)
2609	216	2026-08-03: A ledger constraint that ENUMERATES decays as oscillation, not staleness [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.83,phrases=2)
2625	217	2026-08-03: A rule authored in the VERIFIER is a rule the producer never reads [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
2639	218	2026-08-03: A plan's claim about what a gate enforces is a claim to verify, not to inherit [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=4)
2656	219	"2026-08-03: ""The newest same-class plan"" is a measurement, not something you recall [tag: planner-discipline]"	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=3)
2670	220	2026-08-03: A self-check that reads the DEPOSIT cannot verify a channel that parses the TRANSCRIPT [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=3)
2684	221	2026-08-03: items-in equals items-out, and the item still arrives truncated [tag: verification]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.67,phrases=0)
2698	222	2026-08-03: Machinery added to close a durability gap clobbered the artifact it protected, on the exact path it was built for [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.60,phrases=3)
2712	223	2026-08-03: Renaming an excuse launders it past the rule that already forbids it [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.50,phrases=3)
2726	224	2026-08-03: Six adversarial passes found the content defects; the one-command conformance check would have found forty others, and it never ran [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.86,phrases=1)
2743	225	2026-08-03: A walk aimed at the last fold is not a walk — coverage is the convergence signal, not a falling count [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=6)
2759	226	2026-08-03: Delete the check, not its label — and verify by the check's absence [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=0)
2773	227	2026-08-03: A structural cut is an edit, and it has its own defect class [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=2)
2789	228	2026-08-03: In a block parsed subsection by subsection, the LAST subsection is the exposed one [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
2803	229	2026-08-03: A pipe masks the exit code, and it caught four independent readers in one session [tag: verification]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=4)
2815	230	2026-08-03: A repair can break what it repaired, at the same severity, in the same region [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=3)
2827	231	2026-08-03: Two gates over the same list pull in opposite directions — required versus tolerated [tag: verification]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.60,phrases=0)
2839	232	2026-08-03: A pin whose extraction method is unstated is unreproducible, and it fails closed on the honest path [tag: verification]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.83,phrases=6)
2849	233	2026-08-03: The sweep fails at maximum context — the fix and the missed sibling get written in the same sitting [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.67,phrases=2)
2863	234	2026-08-03: An independent referent sourced from the actor's own record is not independent [tag: verification]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=5)
2873	235	2026-08-03: A backup must sit adjacent to the write it inverts, or it is not an inverse [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=4)
2885	236	2026-08-03: A zero-difference result needs an inverse control before it means anything [tag: verification]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
2895	237	2026-08-03: The conformance pass catches what adversarial review structurally cannot [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=1)
2907	238	2026-08-04: A falling finding-count measures where the reader was sent — proven by removing the aim [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=1)
2921	239	2026-08-04: Ten consecutive ACID passes each found a defect created by the culmination immediately before it [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=5)
2933	240	2026-08-04: A retraction that names its own scope can still be incomplete, and a consumer sweep that probes the wording misses the claim [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.83,phrases=4)
2945	241	2026-08-04: A guard can be safe by accident — executing the real check distinguishes design from luck [tag: verification]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.67,phrases=0)
2957	242	2026-08-04: A measurement must be taken by the method the plan mandates, or it is a prediction [tag: verification]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=2)
2969	243	2026-08-05: Naive probes degrade as an artifact accumulates its own retraction history [tag: verification]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.83,phrases=0)
2983	244	2026-08-05: A closing line written before the cycle's last phase is wrong by construction [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=2)
2995	245	2026-08-05: An overloaded token appears in prose far more often than in its real position — first-match probes land hundreds of lines early [tag: verification]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.60,phrases=2)
3009	246	2026-08-05: Copying a guard from a parent plan is not the same as copying its history [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.50,phrases=2)
3023	247	2026-08-06: A success criterion must declare its polarity — and three individually-correct patches mean the REGION is wrong, not the patches [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
3035	248	2026-08-06: The error that FLATTERS your own argument is the one no gate catches [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.67,phrases=2)
3049	249	2026-08-06: A recorded lesson does not bind the author who recorded it — measured four times in one cycle [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=3)
3063	250	2026-08-06: The Cycle Log is the LEAST-examined region precisely because it is rewritten every phase [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=3)
3077	251	2026-08-06: The dry condition is unreachable by construction — four consecutive plans have closed without it [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.80,phrases=1)
3093	252	2026-08-06: An UN-walked plan lints CLEAN while a fully-walked one WARNs — measured on one artifact across one cycle [tag: instrumentation]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.60,phrases=0)
3105	253	2026-08-06: The negative-result standard was adopted for agents that morning and never applied to my own probes [tag: verification]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.75,phrases=0)
3124	254	2026-08-07: A conformance probe must match the REPRESENTATION, not the spec's prose [tag: verification]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=5)
3134	255	2026-08-07: A fix can break its own DESCRIPTION — re-verify the describing sentence after the fold [tag: drafting]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=0)
3144	256	2026-08-07: A directional insert on a PREFIX anchor lands on the wrong side and passes the line-count proof [tag: mechanics]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=3)
3154	257	2026-08-07: Commit scoping lives on the COMMIT, not the add [tag: mechanics]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=2)
3164	258	2026-08-07: Line numbers cited inside shipped code are load-bearing couplings for every doc edit [tag: instrumentation]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.80,phrases=0)
3174	259	2026-08-07: A parent deposit can carry a DIRECTIVE to a future plan — sweep for them when authoring the successor [tag: drafting]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=2)
3184	260	2026-08-07: A threshold clause written at a POLE silently drops the mid-band [tag: design]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
3194	261	2026-08-07: A recovery branch must produce everything the downstream consumers read [tag: design]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
3202	262	2026-08-07: `grep -c` counts LINES — an intra-line duplicate is invisible to it [tag: verification]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=2)
3212	263	2026-08-07: The closing record is pass-unexamined BY CONSTRUCTION [tag: drafting]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=1)
3222	264	2026-08-07: A foreign constraint id cited by bare number binds to the LOCAL ledger [tag: drafting]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=0)
3232	265	2026-08-07: A true record invisible to the checker's grammar reads as false — write records in the checker's representation [tag: instrumentation]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=0)
3242	266	2026-08-07: A continue verdict is a one-bit channel — a plan reading approval from advancement converts every continue into that approval [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
3252	267	2026-08-07: The confirming pass measured composition-clean and literal-dirty in the same pass, then ran dry [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=1)
3262	268	2026-08-07: Three constraints opened from the batch's own entries were breached by the folds that followed [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=3)
3272	269	2026-08-07: id_sequence at authoring is a prediction — an in-window dispatch consumed it [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=3)
3282	270	2026-08-07: The untargeted confirming pass caught the record's own three-line decay [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=0)
3292	271	2026-08-07: The three-tranche split held classification quality — no inter-tranche cliff at 3.2x the record batch [tag: process-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=1)
3301	272	2026-08-08: A recognized-value enum lives in every tool that reads it — ship one copy and the feature fails its own tooling [tag: process-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
3311	273	2026-08-08: Argue a trade from the population the change actually touches — a cross-population headline can understate the real price [tag: verification]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
3321	274	2026-08-08: A truth-restoration edit is held to its own standard in both directions — overstating OR understating enforcement carves a new falsehood [tag: verification]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.50,phrases=0)
3331	275	2026-08-08: A filter can silence its own evidence base — re-check evidence coherence after every narrowing fold [tag: drafting]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=0)
3341	276	2026-08-08: A specified test fixture can FORCE a guard-weakening — assert degenerate exits against the pre-existing behaviour, not an ideal [tag: verification]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.86,phrases=0)
3351	277	2026-08-08: A checker's mechanics approximate its condition — the gap fires in both directions, and a verifier can be one mesh finer than its check [tag: instrumentation]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.67,phrases=0)
3361	278	2026-08-08: Panel economics, first metered run — HIGHs come from aimed briefs, ~40% of late findings are residue a script could drain [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.83,phrases=1)
3371	279	2026-08-08: Close-commit counts were wrong or absent 4-for-4 — enumerate populations by PATH, reconcile by value, never trust a narrated count [tag: verification]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=1)
3381	280	2026-08-08: The shell's cwd resets between calls — three phase commits landed in the WRONG repo while printing success; cd-first plus a toplevel assert is the whole fix [tag: process-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=4)
3391	281	"2026-08-09: The Bellows verdict grammar is continue/stop only — a ""redo"" is a stop plus a corrected re-deposit, and the correction rides a narrowly-keyed A0 branch [tag: bellows-mechanics]"	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.88,phrases=5)
3401	282	2026-08-09: A dash-leading constructed grep pattern parses as an OPTION — exit 2, empty stdout — and a read-the-count rule converts that emptiness into a false answer [tag: probe-integrity]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.67,phrases=0)
3411	283	2026-08-09: A nine-element compound instruction dropped exactly one element in execution — per-element mechanical asserts are what caught it [tag: instruction-design]	pending		no-implemented-proposal
3421	284	"2026-08-09: A walk examines the WHOLE artifact, so ""no walk has examined this region"" is never a true statement — it is the rationalization that hides a cycle folding its own repairs [tag: drafting-cycle]"	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.88,phrases=3)
3431	285	2026-08-09: An inherited SEVERITY label survives every check that would have caught an inherited factual claim [tag: verification]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=3)
3445	286	2026-08-09: plan_lint's expected-WARN set is LOCATION-dependent, so declaring it from the drafting path declares the wrong thing [tag: instrumentation]	pending		no-implemented-proposal
3459	287	2026-08-10: A sweep whose fixes quote what they fixed can never be verified by a count reaching zero [tag: verification]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=0)
3471	288	2026-08-10: A constraint opened mid-cycle is never swept backwards over what already existed [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.75,phrases=0)
3483	289	2026-08-10: A check that fails a correct run is a check an agent will loosen [tag: verification]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.50,phrases=3)
3495	290	2026-08-10: A guard's stated REASON is part of the guard — correct the premise and the guard is already weakened [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.80,phrases=4)
3507	291	2026-08-10: `LESSONS.md` entries carry no numbers, so an ordinal citation is unverifiable — and one was wrong [tag: process-discipline]	pending		no-implemented-proposal
3519	292	2026-08-10: A changelog says what changed, not which direction — read the diff before calling a change a regression [tag: process-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.60,phrases=0)
3533	293	2026-08-10: Folding a defect class in one plan does not immunise the next plan against it [tag: drafting-cycle]	pending		no-implemented-proposal
3547	294	2026-08-10: A restructuring pass resets the convergence curve — do not read the finding count as progress [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.80,phrases=2)
3561	295	2026-08-10: A corrected corpus measures the FALSE-positive surface and cannot measure true positives at all [tag: verification]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=3)
3575	296	2026-08-10: Measure how many DIALECTS a record has before computing anything from it [tag: instrumentation]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=0)
3589	297	2026-08-10: `pause_for_verdict: always` is a header contract nothing enforces — an agent ran every step of a three-step plan in one dispatch [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=4)
3605	298	2026-08-10: When a self-marking agent returns a NEGATIVE result, the missing independence matters far less [tag: verification]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
3619	299	2026-08-10: A census that measures PRECISION over survivors has not measured the class — the number that decides a check is RECALL against known positives [tag: measurement]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.88,phrases=0)
3637	300	2026-08-10: A walk's convergence is told by what its findings TOUCH, not by where they came from [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=0)
3651	301	2026-08-10: A gate that reads a token can be silenced by the record RETRACTING that token [tag: mechanization]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.67,phrases=1)
3663	302	2026-08-10: Mandates and their observers drift because they are written in different places [tag: instruction-design]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
3675	303	2026-08-10: A mismatched literal probe returns a confident FALSE ABSENCE, and it does it on the verification step [tag: verification]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.83,phrases=2)
3691	304	2026-08-10: The walk register is doctrine-ephemeral and practice-permanent — and the permanent copy is the one that did the work [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=4)
3705	305	2026-08-10: A per-string prohibition did not hold a structural hazard — the record has to leave the gate span, not be worded around it [tag: bellows-integration]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.71,phrases=0)
3719	306	2026-08-10: A task paragraph accretes correct folds until an agent reads it and acts on a subset [tag: instruction-design]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.75,phrases=3)
3733	307	2026-08-10: A rule that names its own rationalization still did not bind — the gap is an observer, not wording [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=8)
3747	308	2026-08-10: A batch fingerprint and the session-wrap ritual are in direct conflict, and nothing warns you [tag: process-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.67,phrases=1)
3761	309	2026-08-10: A subtractive cut is verified by a DIFF REVIEW, and a retained-material checklist cannot do it [tag: verification]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=4)
3775	310	2026-08-11: A clone-diff finds defects the ORIGIN carries, not only what the clone dropped [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=8)
3787	311	2026-08-11: Price what a guard is FOR before building it — an unpriced argument cost five of six walks [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=8)
3801	312	2026-08-11: Collapsing an accreted region beats patching it, and the collapse costs exactly one finding [tag: drafting-cycle]	pending		no-implemented-proposal
3815	313	2026-08-11: A fix that RECLASSIFIES a state silently widens what proceeds — three consecutive walks, one item [tag: drafting-cycle]	pending		no-implemented-proposal
3833	314	2026-08-11: Only one lens reads outside the artifact, and it does not converge with the others [tag: drafting-cycle]	pending		no-implemented-proposal
3847	315	2026-08-11: 62% of warm-walk findings are the warm walk's own damage — the foundation defects are readable at walk 0 [tag: drafting-cycle]	pending		no-implemented-proposal
3868	316	2026-08-11: A step body has exactly ONE reader — a sentence addressed to anyone else is an instruction the wrong party will follow [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=13)
3884	317	2026-08-11: An EDIT ANCHOR is not a probe — assert it is the occurrence you mean before rewriting anything [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=13)
3898	318	2026-08-11: Four doctrine defects found by reading doctrine AS PROSE — the panel's prose-debt extension [tag: governance]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.80,phrases=0)
3907	319	2026-08-12: The cold panel's operational layer is lore — seat prompts carry the safety contract and no artifact carries the seat prompts [tag: drafting-cycle]	learned	PANEL_SEAT_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=7)
3915	320	2026-08-12: Meter the panel from seat 0 — a meter added at seat 4 permanently lost seat 1's cost [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=0)
3923	321	2026-08-12: The executing seat has no brief — six-for-six HIGHs came from RUNNING the machinery, and the streak broke exactly where the machinery was already run five times [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=5)
3931	322	2026-08-12: Panel registers coarsen to one-row-per-seat in every instance — a deviation declared by ALL members of a class is a schema amendment owed [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.75,phrases=1)
3939	323	2026-08-12: Cold-front timing is a SHAPE decision, not a bullet — cold passes return 7× the pre-existing yield while warm walks find their own fold damage [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=1)
3948	324	2026-08-12: The warm walk's mechanical/judgment split transfers to the panel — four structures that cut the replication layer without touching discovery [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=6)
3965	325	2026-08-13: The panel's own fold round is new surface — both capstone HIGHs were interactions BETWEEN the panel's folds [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=5)
3973	326	2026-08-13: The record could not license the panel — walk 3 ran dry but was never recorded; strike, don't tidy [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=5)
3981	327	2026-08-13: cwd reset between Bash calls reaches OPS compounds too — a daemon relaunch fired from the wrong directory [tag: operational-recovery]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=6)
3989	328	2026-08-13: A transcribed census row transposed two column values and stayed well-formed — spot-check rows against their cited sources [tag: verification]	unknown		detector-UNDECIDABLE(ratio=0.00,phrases=0,reason=no_target)
3997	329	2026-08-13: One action per ops compound — the close-compound carries a POST-CONDITION, and an unrouted clause is a Gate-1 bypass even when it is right [tag: drafting-cycle]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
4005	330	2026-08-13: Register DUP-APPEND — one bullet in, two identical rows out, in the cycle's own record [tag: drafting-cycle]	unknown		detector-UNDECIDABLE(ratio=0.40,phrases=0,reason=threshold)
4013	331	2026-08-13: Headerless table rows are INVISIBLE to a header-anchored parser — 46 committed rows had never been validated [tag: verification]	unknown		detector-UNDECIDABLE(ratio=0.29,phrases=0,reason=threshold)
4021	332	2026-08-13: A case-insensitive filesystem defeats a realpath guard — compare inodes, not strings [tag: verification]	pending		no-implemented-proposal
4029	333	2026-08-13: Every sqlite sentinel prints BEFORE the COMMIT — a rollback run produces perfect evidence with nothing written [tag: verification]	unknown		detector-UNDECIDABLE(ratio=0.00,phrases=0,reason=no_target)
4037	334	2026-08-13: A summary line attested a lint run that never happened — the attestation was written from intention, not output [tag: drafting-cycle]	pending		no-implemented-proposal
4045	335	2026-08-13: A strike note that QUOTES a section header becomes a second anchor match — describe tokens, don't exhibit them, in records that carry retractions [tag: drafting-cycle]	pending		no-implemented-proposal
4053	336	2026-08-13: The probe was authored from prediction and would have halted a CORRECT run — measure every expected value ON the pinned artifact [tag: verification]	pending		no-implemented-proposal
4061	337	2026-08-13: Deliverable counts in templates go stale when the deliverable grows — sweep every count-carrying template site after a late addition [tag: drafting-cycle]	pending		no-implemented-proposal
4069	338	2026-08-13: The daemon claims an uncommitted deposit within one second — commit the claimed rename, and predict ids, never mint [tag: operational-recovery]	pending		no-implemented-proposal
4077	339	2026-08-14: A fold is the only edit in the system with no post-condition — six rules govern it and all six key on the wrong unit [tag: drafting-cycle]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=5)
4085	340	2026-08-14: A fold's own prose can break a machine contract — three times in one cycle, every one invisible to reading [tag: verification]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=2)
